Topic,Top_Words
0,"человек, мир, весь, стать, молодои, земля, новыи, угроза, мочь, человечество"
1,"друг, гарри, новыи, отправляться, становиться, возвращаться, миссия, джон, однако, будущее"
2,"полностью, новыи, помощь, сын, американскии, город, отец, бывшии, предстоять, ребенок"
3,"год, первыи, убииство, история, собственныи, девушка, время, работа, армия, несколько"
4,"жизнь, дело, история, питер, весь, хорошии, день, вести, жена, гарри"
5,"пытаться, наити, спасти, убиица, сила, помочь, бывшии, мальчик, помощь, компания"
6,"время, воина, мировои воина, мировои, второи, история, начинать, первыи, американскии, агент"
