Модель,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Время (сек),Score
Логистическая регрессия,0.7835051546391752,0.8170832031656774,0.7835051546391752,0.7790654583567841,0.9777900273249815,0.08877706527709961,0.8281897996251588
XGBoost,0.8350515463917526,0.841949884082277,0.8350515463917526,0.8336538111434623,0.9710811832851971,2.480288028717041,0.8633575942588884
Random Forest,0.7628865979381443,0.8046999940178268,0.7628865979381443,0.7512373406709202,0.9659700252455551,0.33960819244384766,0.8095361111621182
Нейросеть (оптимизированная),0.7835051546391752,0.7940643548890971,0.7835051546391752,0.7828597120047143,0.9558178974386118,9.217751264572144,0.8199504547221547
